Word	Frequency	Posting list
thirteen	1	[1825]
snake	1	[1756]
topkapi	1	[1864]
cop	4	[217, 218, 414, 830]
kikujiro	1	[825]
blackboard	1	[238]
allows	1	[96]
santa	4	[172, 1235, 1737, 1738]
believe	1	[992]
incredible	1	[1602]
whats	3	[1943, 1944, 1945]
tigger	1	[1784]
pelle	1	[1103]
phoenix	1	[692]
ivans	1	[791]
opus	1	[1002]
century	1	[1887]
gigli	1	[645]
redemption	1	[1747]
horse	2	[1594, 1823]
colonel	1	[1629]
bedford	1	[1455]
allan	1	[98]
people	5	[342, 437, 958, 1082, 1221]
save	1	[1238]
hamburger	1	[678]
windtalker	1	[1964]
teen	1	[1414]
reservoir	1	[1177]
home	9	[400, 597, 728, 729, 730, 861, 1397, 1639, 1935]
anthony	1	[136]
two	7	[897, 1076, 1768, 1891, 1892, 1893, 1894]
carnal	1	[333]
mixed	1	[1604]
after	5	[65, 66, 67, 1516, 1841]
tabu	1	[1406]
graduate	1	[1576]
another	2	[475, 1782]
1973	3	[1191, 1314, 1803]
petticoat	1	[1080]
confidential	1	[847]
hollywood	1	[727]
north	2	[1025, 1048]
terminator	1	[1776]
1989	7	[102, 185, 650, 712, 1187, 1616, 1634]
terrorist	1	[1777]
le	2	[479, 875]
ocean	2	[1058, 1059]
shakespeare	1	[1280]
dilwale	1	[479]
heaven	8	[94, 96, 447, 704, 705, 838, 869, 1692]
peking	1	[16]
blacksmith	1	[239]
ape	2	[191, 213]
wrong	1	[1291]
zone	1	[1518]
school	5	[720, 1195, 1206, 1251, 1379]
pocahontas	1	[1122]
story	14	[24, 25, 1487, 1612, 1687, 1706, 1761, 1762, 1763, 1764, 1765, 1853, 1870, 1871]
truman	1	[1791]
antoine	1	[137]
life	22	[22, 26, 38, 65, 790, 884, 915, 987, 988, 1151, 1409, 1457, 1526, 1628, 1629, 1630, 1631, 1635, 1715, 1716, 1827, 1923]
romancing	1	[1202]
full	3	[627, 940, 1558]
cable	1	[1491]
producer	1	[1717]
dawn	6	[442, 443, 459, 625, 1171, 1998]
robinson	1	[1403]
mulan	1	[1006]
nekromantik	1	[1033]
prefer	1	[637]
77	1	[77]
piglet	1	[1115]
green	2	[672, 1335]
nurse	1	[1056]
sister	1	[1310]
africa	1	[1085]
up	3	[290, 732, 1604]
reunion	1	[1206]
ed	1	[532]
birth	1	[1467]
mario	1	[1385]
kalifornia	1	[817]
with	12	[130, 435, 478, 595, 879, 911, 1182, 1628, 1654, 1790, 1944, 1968]
semi	1	[1263]
hollow	1	[1317]
kelly	3	[823, 1032, 1763]
number	2	[517, 1054]
youve	1	[1993]
them	1	[1819]
cape	1	[328]
fortress	1	[1589]
perfect	2	[1075, 1104]
orange	2	[1081, 1843]
replacement	1	[1726]
dragon	3	[525, 1110, 1549]
ballou	1	[341]
week	1	[1894]
snap	1	[646]
treasure	2	[1029, 1876]
need	1	[943]
bullet	1	[308]
hunchback	1	[1598]
gambler	1	[1559]
enough	2	[547, 1812]
georgy	1	[638]
perros	1	[115]
twenty	1	[1888]
wide	1	[1953]
snatcher	1	[781]
fire	11	[175, 360, 416, 583, 584, 690, 770, 933, 1174, 1352, 1374]
rumble	1	[1214]
supremacy	1	[1479]
dirty	6	[130, 481, 482, 484, 485, 1523]
sleepless	1	[1316]
phantom	2	[1703, 1704]
1988	5	[81, 372, 1427, 1453, 1794]
jane	1	[629]
done	1	[1291]
kanavu	1	[973]
schmidt	1	[55]
abbott	1	[53]
con	1	[404]
upon	3	[1068, 1069, 1070]
taste	1	[173]
dogma	1	[493]
chariot	1	[360]
over	2	[308, 1363]
to	36	[7, 35, 46, 49, 51, 62, 94, 164, 165, 166, 274, 398, 399, 401, 504, 592, 626, 686, 688, 755, 811, 869, 882, 1000, 1003, 1096, 1188, 1369, 1575, 1592, 1732, 1848, 1849, 1851, 1922, 1944]
lavventura	1	[846]
mississippi	1	[976]
shrinking	1	[1602]
joe	3	[804, 953, 1762]
instinct	1	[182]
machinist	1	[1647]
rhine	1	[1929]
let	1	[879]
rocket	1	[264]
tep	1	[300]
spongebob	1	[1758]
twister	1	[1890]
bernadette	1	[1757]
son	3	[1328, 1331, 1571]
hundred	2	[1073, 1074]
point	1	[1123]
shrek	2	[1301, 1302]
doppelg	1	[500]
walking	1	[1925]
shadow	2	[1276, 1277]
tick	1	[1999]
donovans	1	[496]
last	11	[54, 750, 754, 776, 863, 1229, 1618, 1620, 1621, 1622, 1624]
durham	1	[306]
officer	1	[120]
cinderella	2	[25, 376]
wayne	1	[1932]
army	1	[146]
elf	1	[540]
always	2	[102, 1547]
e	5	[71, 527, 851, 1005, 1845]
evolution	1	[560]
waterfront	1	[1067]
1995	9	[168, 622, 702, 840, 908, 1122, 1178, 1255, 1720]
4th	1	[201]
61	1	[17]
minsara	1	[973]
skeleton	1	[1642]
trip	2	[49, 592]
remember	2	[46, 51]
aristocats	1	[1443]
again	3	[469, 654, 828]
arthur	2	[150, 831]
i	16	[2, 32, 564, 629, 732, 733, 747, 748, 749, 750, 751, 752, 754, 755, 1597, 1762]
demented	1	[351]
getting	1	[641]
list	1	[1250]
sinbad	1	[1424]
1987	2	[938, 1926]
all	6	[92, 94, 96, 97, 126, 1292]
ferris	1	[578]
honor	1	[1968]
down	5	[235, 503, 504, 583, 1728]
prosecution	1	[1973]
13th	2	[624, 1421]
1920	1	[1658]
3000	1	[997]
pan	2	[1107, 1108]
chronicle	1	[1498]
god	4	[70, 371, 382, 1568]
pretty	1	[1133]
oncle	1	[980]
cobra	1	[393]
leaving	1	[870]
madly	1	[1884]
helena	1	[267]
witness	2	[1972, 1973]
kramer	1	[843]
viva	3	[1550, 1917, 1918]
piece	1	[1114]
labyrinth	1	[852]
justice	2	[126, 1084]
sexy	1	[1275]
metal	1	[627]
connection	1	[1556]
fahrenheit	1	[566]
escaflowne	1	[551]
essex	1	[1716]
luck	1	[215]
bubba	1	[300]
fool	3	[598, 1045, 1294]
it	8	[151, 288, 765, 787, 788, 789, 790, 1944]
drop	1	[516]
huckabees	1	[749]
h	1	[1761]
daisy	1	[515]
divine	1	[486]
sam	2	[747, 1380]
incident	1	[1455]
laser	1	[860]
touch	1	[1869]
whisperer	1	[1594]
until	1	[1904]
tora	1	[1866]
scot	1	[946]
awakening	1	[157]
calendar	1	[321]
happen	1	[1945]
who	6	[510, 900, 901, 1604, 1651, 1951]
silkwood	1	[1307]
thou	1	[1057]
convenience	1	[334]
blank	1	[242]
firm	1	[1546]
queen	3	[407, 946, 1436]
amarcord	1	[105]
mercy	1	[1415]
shine	1	[1293]
harbor	1	[1101]
food	1	[1333]
nirvana	1	[1041]
carmichael	1	[1935]
maria	1	[940]
bourgeoisie	1	[1524]
elmo	1	[1430]
banzai	1	[1429]
cobb	1	[392]
courage	1	[416]
panchali	1	[1097]
pancho	1	[879]
foreign	1	[605]
true	2	[1882, 1883]
palace	1	[1950]
beautician	1	[1454]
evil	4	[558, 559, 1536, 1869]
shallow	2	[1281, 1282]
main	1	[1750]
sorcerer	1	[1332]
mutiny	1	[1492]
1972	1	[1710]
holiday	2	[726, 1201]
knowledge	1	[333]
bad	10	[168, 169, 170, 171, 172, 173, 1447, 1448, 1449, 1572]
hard	6	[476, 477, 478, 684, 685, 686]
tremor	1	[1877]
becky	1	[197]
mike	1	[885]
nanook	1	[1025]
indecent	1	[774]
rosso	1	[1126]
1979	4	[687, 1363, 1601, 1841]
bros	1	[1385]
bande	1	[178]
doe	1	[992]
august	2	[1773, 1801]
karate	1	[1615]
toyland	1	[160]
1900	1	[5]
fortune	1	[1180]
her	2	[453, 869]
italian	2	[487, 1610]
l	1	[847]
notting	1	[1052]
10	2	[0, 2]
death	12	[38, 298, 453, 454, 455, 456, 534, 840, 910, 941, 1009, 1629]
suit	1	[1653]
lyndon	1	[181]
captain	2	[331, 1312]
goldmine	1	[1911]
will	3	[419, 662, 1959]
strawberry	1	[1954]
searching	1	[1257]
fall	3	[873, 1304, 1540]
mark	2	[1658, 1659]
deathtrap	1	[457]
possessed	1	[1128]
lake	1	[533]
part	5	[165, 166, 178, 1566, 1567]
missing	1	[975]
lappartement	1	[845]
party	1	[1094]
caveman	1	[350]
thief	3	[79, 221, 1849]
citizen	1	[378]
law	3	[56, 867, 1601]
long	4	[898, 910, 1638, 1639]
1934	1	[160]
casshern	1	[339]
bound	2	[265, 266]
titanic	1	[1846]
serpico	1	[1267]
belleville	1	[1789]
way	3	[332, 655, 762]
hutch	1	[1362]
arabian	1	[1891]
ballroom	1	[1375]
crossing	2	[425, 970]
cause	1	[1170]
count	2	[1507, 1984]
our	1	[1457]
von	1	[1469]
bogus	1	[230]
insider	1	[1607]
kazaam	1	[822]
10th	1	[1420]
morning	1	[661]
freak	2	[536, 614]
toy	3	[1786, 1870, 1871]
groundhog	1	[674]
fast	2	[12, 1542]
weird	1	[1934]
mona	1	[981]
malice	1	[57]
door	2	[1353, 1564]
n	1	[1195]
theory	1	[410]
juliet	2	[1203, 1205]
my	8	[655, 1012, 1013, 1015, 1016, 1017, 1018, 1019]
five	2	[398, 591]
victoria	1	[1914]
1953	1	[1107]
hilary	1	[723]
morocco	1	[990]
roxbury	1	[41]
country	2	[1181, 1459]
airhead	1	[74]
cant	1	[327]
eagle	3	[785, 1673, 1808]
harvey	1	[697]
from	10	[420, 553, 625, 626, 748, 787, 895, 1418, 1481, 1782]
1914	1	[1840]
savior	1	[1241]
lady	4	[854, 855, 856, 881]
vega	3	[870, 1550, 1917]
swimming	1	[1401]
benjamin	1	[1137]
ray	1	[1166]
ned	1	[1032]
element	1	[1543]
travel	1	[1378]
raider	1	[1156]
rabbit	3	[1149, 1150, 1951]
begin	1	[186]
fence	1	[1149]
hoosier	1	[736]
chick	1	[1949]
werewolf	2	[117, 118]
hype	1	[1582]
beyond	2	[219, 922]
mon	1	[980]
condor	1	[1832]
congo	1	[408]
wrath	1	[70]
future	4	[164, 165, 166, 285]
encounter	2	[283, 389]
jack	4	[232, 793, 820, 1071]
tear	2	[992, 1469]
jet	1	[851]
great	7	[1577, 1578, 1579, 1580, 1581, 1582, 1583]
nightmare	2	[1682, 1936]
can	3	[344, 704, 1984]
yodha	1	[1981]
glory	4	[266, 650, 737, 1098]
sholay	1	[1296]
habit	1	[356]
saagara	1	[1227]
interior	1	[780]
double	3	[26, 502, 1526]
dororo	1	[501]
repo	1	[1175]
nicky	1	[893]
served	1	[1985]
jaguar	1	[71]
grave	2	[418, 1281]
peach	1	[797]
bulworth	1	[311]
legged	1	[536]
heavy	2	[707, 708]
bitter	1	[1469]
fisher	1	[1548]
bhai	1	[1008]
dynamite	1	[1026]
austin	1	[156]
old	1	[763]
shoe	2	[1725, 1748]
brew	1	[1370]
creature	2	[420, 1604]
fanny	1	[570]
sensibility	1	[1264]
bride	6	[281, 282, 575, 576, 1269, 1713]
rider	3	[530, 1088, 1939]
hardest	1	[1547]
marked	1	[941]
childhood	1	[791]
existenz	1	[562]
riddick	1	[1498]
azkaban	1	[694]
gloria	1	[649]
truth	1	[1446]
cyclo	1	[430]
misty	1	[1120]
paper	1	[1091]
alien	4	[87, 88, 89, 90]
massacre	2	[1778, 1779]
nikita	1	[1039]
rope	1	[68]
entrapment	1	[548]
babe	2	[159, 160]
nemo	1	[581]
omega	1	[1688]
armageddon	1	[145]
conquers	1	[1235]
burning	1	[976]
naked	1	[1024]
hire	1	[1591]
dulhania	1	[479]
1939	2	[1354, 1810]
54	1	[15]
philadelphia	2	[1705, 1706]
london	1	[117]
hunted	1	[1599]
wanda	1	[27]
at	11	[16, 40, 41, 170, 278, 334, 546, 863, 1208, 1382, 1958]
decision	1	[459]
photo	1	[1072]
dolittle	2	[489, 506]
in	49	[45, 63, 84, 85, 117, 118, 147, 156, 160, 229, 434, 522, 584, 588, 598, 657, 714, 756, 761, 762, 763, 765, 766, 767, 769, 770, 771, 772, 904, 905, 954, 960, 961, 992, 1068, 1069, 1070, 1133, 1270, 1280, 1316, 1430, 1550, 1597, 1601, 1653, 1829, 1880, 1975]
twilight	1	[1889]
hardcore	1	[687]
return	6	[188, 1123, 1389, 1676, 1729, 1730]
egypt	1	[1711]
1990	4	[82, 474, 642, 1179]
path	1	[1098]
tate	1	[892]
strike	1	[800]
aladdin	2	[78, 79]
smell	1	[1399]
impromptu	1	[760]
none	1	[1046]
thousand	1	[134]
rose	1	[1767]
steve	1	[1628]
benny	1	[214]
notorious	1	[1051]
psycho	1	[112]
eve	1	[92]
gram	1	[8]
bored	1	[263]
hood	4	[1190, 1191, 1192, 1434]
1993	4	[91, 577, 1356, 1546]
corner	1	[1749]
just	1	[815]
20	2	[7, 1547]
malcolm	1	[930]
craven	1	[1936]
suspiria	1	[1393]
straight	2	[1369, 1765]
delinquent	1	[1521]
hangman	1	[680]
butch	1	[314]
is	9	[884, 907, 958, 1018, 1336, 1547, 1812, 1826, 1906]
ran	1	[1161]
helen	1	[1160]
shoot	1	[1823]
blade	2	[240, 241]
pollock	1	[1124]
gilmore	1	[683]
ordinary	1	[1082]
intelligence	1	[32]
vampire	2	[303, 1277]
wait	2	[327, 704]
drama	1	[407]
gremlin	1	[673]
sudden	1	[1377]
cradle	2	[418, 419]
apprenticeship	1	[1441]
running	1	[1306]
lucia	1	[1273]
deliverance	1	[463]
pimlico	1	[1096]
exit	1	[563]
ronique	1	[1526]
mo	1	[977]
audition	1	[155]
perdition	1	[1188]
bedknobs	1	[198]
actress	1	[969]
girl	10	[195, 321, 638, 724, 803, 1017, 1073, 1564, 1893, 1977]
incredibly	1	[1604]
bruce	1	[299]
about	5	[2, 54, 55, 92, 1820]
deep	2	[460, 1216]
eight	2	[536, 685]
romance	2	[1840, 1883]
cheaper	1	[366]
super	2	[1384, 1385]
passport	1	[1096]
know	4	[705, 750, 751, 754]
raid	1	[654]
alone	2	[728, 729]
rush	3	[598, 1218, 1569]
buffalo	1	[302]
wale	1	[1693]
sullivan	1	[1378]
blood	6	[245, 246, 247, 331, 691, 1817]
desire	1	[1966]
1981	2	[150, 631]
1971	2	[1278, 1373]
mesh	1	[964]
robin	5	[189, 1190, 1191, 1192, 1434]
window	2	[1169, 1259]
butterfly	2	[772, 917]
fidelity	1	[718]
learning	1	[722]
james	1	[797]
spartacus	1	[1339]
80	1	[147]
pee	1	[1102]
thin	2	[48, 67]
twelve	2	[1059, 1886]
samurai	2	[1271, 1622]
movie	11	[29, 119, 1115, 1248, 1305, 1367, 1494, 1637, 1758, 1784, 1806]
irma	2	[783, 784]
becomes	1	[453]
na	1	[929]
sings	1	[854]
donnie	1	[495]
hercules	2	[713, 714]
daleks	1	[510]
deer	1	[1519]
1963	3	[359, 1587, 1723]
lucien	1	[853]
thing	7	[2, 488, 907, 1419, 1781, 1782, 1956]
weekend	1	[1643]
petrified	1	[1702]
letter	2	[35, 908]
inn	2	[726, 1606]
hud	1	[744]
disaster	1	[595]
hat	1	[1861]
addicted	1	[62]
texas	3	[1093, 1778, 1779]
shaun	1	[1290]
grape	1	[1943]
claudine	1	[384]
lost	11	[98, 902, 903, 904, 905, 912, 1156, 1500, 1641, 1642, 1643]
jersey	1	[803]
1965	1	[439]
real	1	[1167]
mr	13	[507, 705, 716, 927, 951, 997, 998, 999, 1000, 1001, 1002, 1003, 1004]
wing	3	[1808, 1965, 1966]
bamboozled	1	[177]
silver	1	[1308]
python	3	[987, 988, 1145]
starfighter	1	[1624]
thunder	2	[448, 1836]
terrestrial	1	[527]
mirrormask	1	[974]
hitchhiker	1	[1592]
verdict	1	[1795]
going	3	[4, 655, 751]
rainmaker	1	[1722]
lucas	1	[913]
around	2	[147, 1749]
lavender	1	[1625]
scoundrel	1	[484]
work	2	[247, 485]
deceit	1	[454]
clyde	1	[260]
bicycle	1	[221]
gandhi	1	[632]
hook	1	[734]
claus	1	[1235]
tiger	1	[1238]
weapon	3	[876, 877, 878]
camel	1	[1764]
court	1	[1508]
cruel	1	[426]
local	1	[896]
show	5	[1147, 1299, 1584, 1621, 1791]
mosquito	1	[1671]
like	1	[885]
meet	4	[53, 953, 954, 957]
rob	1	[1189]
mile	1	[7]
operation	1	[1080]
excalibur	1	[561]
1927	1	[368]
fisherman	1	[1748]
zola	1	[1630]
2000	10	[256, 296, 367, 377, 455, 657, 912, 1279, 1700, 1873]
aboard	1	[454]
bird	3	[601, 1395, 1466]
coming	2	[400, 401]
abominable	1	[1425]
purple	1	[1144]
past	1	[1086]
ice	1	[756]
field	1	[579]
smokey	1	[1320]
saddle	1	[244]
magnolia	2	[925, 1365]
test	1	[1150]
care	2	[432, 1494]
prime	1	[1135]
boxing	1	[267]
book	3	[1212, 1613, 1614]
burger	1	[659]
monk	1	[307]
s	5	[564, 1008, 1224, 1225, 1226]
scorpion	1	[1740]
demolition	1	[464]
alphaville	1	[101]
carter	2	[640, 805]
beautiful	3	[195, 884, 1449]
starting	1	[1363]
d	1	[431]
boy	15	[162, 168, 169, 268, 269, 270, 301, 316, 573, 602, 658, 1481, 1538, 1641, 1857]
turvy	1	[1865]
sleepy	1	[1317]
moscow	2	[992, 993]
hand	1	[412]
notre	1	[1598]
ark	2	[1156, 1220]
arizona	1	[1159]
longshot	1	[899]
fatal	1	[574]
orient	1	[454]
harm	1	[762]
duel	1	[522]
incubus	1	[773]
time	8	[772, 898, 979, 1068, 1069, 1070, 1841, 1842]
ogill	1	[437]
quiz	1	[1147]
circus	2	[377, 1499]
dancer	1	[434]
darko	1	[495]
run	7	[326, 370, 1055, 1215, 1216, 1408, 1493]
sucker	1	[520]
bullitt	1	[309]
unbreakable	1	[1899]
devil	2	[471, 1182]
lenin	1	[660]
valiant	1	[1906]
chicken	1	[370]
jekyll	1	[507]
money	2	[1408, 1501]
varrick	1	[361]
dark	4	[45, 434, 438, 1515]
friday	4	[622, 623, 624, 724]
6th	1	[1423]
gone	1	[657]
lassie	1	[861]
bandini	1	[179]
pale	1	[1088]
haunted	3	[698, 739, 740]
ticker	1	[1838]
potter	6	[689, 690, 691, 692, 693, 694]
roman	2	[1201, 1540]
daughter	2	[586, 1222]
eating	2	[531, 1943]
1940	3	[1118, 1659, 1741]
graffiti	1	[109]
more	1	[600]
raven	1	[1723]
lola	1	[1215]
shot	2	[45, 1651]
gentleman	3	[120, 636, 637]
case	1	[1694]
mobster	1	[978]
f	1	[564]
spring	1	[864]
joan	1	[1698]
configuration	1	[1683]
brazil	2	[276, 1481]
1997	9	[123, 583, 598, 713, 1079, 1530, 1722, 1846, 1919]
spaceballs	1	[1338]
million	2	[7, 1547]
many	1	[907]
stalag	1	[1355]
wind	2	[39, 1807]
scream	2	[1253, 1254]
princess	2	[1713, 1714]
frankenstein	3	[53, 281, 612]
ance	1	[1226]
score	1	[1739]
paradine	1	[1694]
goldeneye	1	[656]
max	3	[920, 921, 922]
finding	2	[581, 582]
17	1	[1355]
kombat	1	[991]
stoker	1	[273]
floating	1	[596]
lesser	1	[371]
attack	1	[154]
grease	2	[669, 670]
buckaroo	1	[1429]
air	3	[72, 73, 404]
three	7	[35, 1076, 1768, 1831, 1832, 1833, 1834]
say	1	[498]
here	5	[142, 626, 715, 716, 788]
dumbo	1	[523]
azam	1	[1005]
kal	1	[816]
ghost	3	[642, 1509, 1563]
henry	3	[711, 712, 1715]
yard	2	[1802, 1814]
right	3	[488, 927, 1731]
midnight	1	[967]
heat	2	[257, 702]
swinger	1	[1402]
napoleon	1	[1026]
casino	2	[337, 338]
hate	2	[2, 48]
risky	1	[1186]
clerk	1	[386]
outbreak	1	[1087]
571	1	[1897]
center	1	[811]
lie	3	[103, 1261, 1941]
paris	3	[52, 118, 1093]
stone	2	[693, 1202]
johnny	2	[807, 808]
mail	1	[1993]
pulp	1	[1140]
room	5	[258, 608, 944, 1090, 1208]
now	1	[1053]
magnificent	2	[1650, 1829]
lord	1	[1640]
company	1	[1065]
clause	2	[1737, 1738]
father	3	[575, 576, 1946]
hotel	1	[667]
madonna	1	[224]
him	1	[1291]
muriels	1	[1010]
saw	2	[1242, 1778]
1928	1	[1807]
bug	2	[22, 1644]
lizzie	1	[1637]
enigma	1	[1534]
soylent	1	[1335]
indiana	1	[776]
